gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,2019-03-17,0,1.0,0.992200352325,0.904551141974,0.718727000878,0.526761353387,0.322892194225,0.193606781743,1,1,150,Duke,96.3,East,1,0
mens,2019-03-17,0,1.0,0.981357722848,0.881893080055,0.723111649412,0.485442592416,0.310674829792,0.17018628468,1,1,258,Virginia,95.2,South,1,96
mens,2019-03-17,0,1.0,0.988217638292,0.869818783591,0.700212503218,0.48487134741,0.257876292896,0.145551920452,1,1,2250,Gonzaga,95.0,West,1,32
mens,2019-03-17,0,1.0,0.9780136143,0.862819543086,0.57447470635,0.354007675187,0.179290753562,0.087819811499,1,1,153,North Carolina,93.25,Midwest,1,64
mens,2019-03-17,0,1.0,0.963916589553,0.73451766901,0.535041987428,0.221705439562,0.121318366761,0.065443733016,1,1,127,Michigan State,92.19,East,2,28
mens,2019-03-17,0,1.0,0.952234569754,0.70842503385,0.460443584305,0.219487655174,0.119997552756,0.055291750762,1,1,2633,Tennessee,91.65,South,2,124
mens,2019-03-17,0,1.0,0.969106417741,0.731470440588,0.46882882554,0.241292412812,0.11270876289,0.051192609945,1,1,96,Kentucky,91.24,Midwest,2,92
mens,2019-03-17,0,1.0,0.940605972774,0.693442636519,0.401707922609,0.170338192685,0.081057479426,0.04158610304,1,1,130,Michigan,91.13,West,2,60
mens,2019-03-17,0,1.0,0.906249517469,0.652224844409,0.340959073113,0.141634573445,0.056807466283,0.025153733215,1,1,2641,Texas Tech,89.65,West,3,52
mens,2019-03-17,0,1.0,0.880189949978,0.507859072496,0.245511070223,0.102425332112,0.052162465226,0.022299532054,1,1,2509,Purdue,89.09,South,3,116
mens,2019-03-17,0,1.0,0.872634432465,0.546490967891,0.160450378887,0.086439334928,0.036723178656,0.015727426677,1,1,259,Virginia Tech,88.74,East,4,12
mens,2019-03-17,0,1.0,0.762941279216,0.474088856616,0.196014924419,0.099763892899,0.03979217077,0.01561833576,1,1,2,Auburn,88.65,Midwest,5,72
mens,2019-03-17,0,1.0,0.89817903701,0.543308143158,0.244247187174,0.101992659808,0.037379952447,0.01357280829,1,1,248,Houston,88.13,Midwest,3,84
mens,2019-03-17,0,1.0,0.788916578578,0.512784205073,0.148175640716,0.06983294433,0.026216554902,0.010961687785,1,1,52,Florida State,88.39,West,4,44
mens,2019-03-17,0,1.0,0.825462547618,0.394544851881,0.160575528553,0.080717691791,0.028082833318,0.009721003524,1,1,2305,Kansas,86.3,Midwest,4,76
mens,2019-03-17,0,1.0,0.674480675817,0.323187842748,0.143494648067,0.059198188968,0.022781876766,0.008652103345,1,1,66,Iowa State,86.16,Midwest,6,80
mens,2019-03-17,0,1.0,0.54814471829,0.307624716975,0.084816343603,0.036752529966,0.017838581162,0.007254090905,1,1,275,Wisconsin,86.7,South,5,104
mens,2019-03-17,0,1.0,0.752306501073,0.388630433901,0.144682034792,0.047058632106,0.019901363806,0.007031627894,1,1,222,Villanova,86.95,South,6,112
mens,2019-03-17,0,1.0,0.767072698085,0.389764381068,0.097606677266,0.039207654112,0.017670615337,0.006659391031,1,1,2306,Kansas State,86.66,South,4,108
mens,2019-03-17,0,1.0,0.8500608121,0.497505947,0.160599485402,0.03859452237,0.013696105027,0.004985171558,1,1,99,Louisiana State,86.41,East,3,20
mens,2019-03-17,0,1.0,0.823097709261,0.382351395105,0.078981663847,0.033586727581,0.012505629173,0.004753812101,1,1,344,Mississippi State,86.44,East,5,8
mens,2019-03-17,0,1.0,0.66389752768,0.193199258633,0.107527997995,0.028968969112,0.010935519817,0.004208892516,1,1,97,Louisville,85.9,East,7,24
mens,2019-03-17,0,1.0,0.578537081722,0.181979538377,0.095549807939,0.036166292813,0.011376052438,0.004075066398,1,1,2440,Nevada,86.12,West,7,56
mens,2019-03-17,0,1.0,0.662983376776,0.209289692499,0.098168276501,0.032006338773,0.012425900148,0.004029569041,1,1,2132,Cincinnati,85.12,South,7,120
mens,2019-03-17,0,1.0,0.636957770932,0.319436103331,0.128954004198,0.03896740302,0.012191376375,0.003959389791,1,1,120,Maryland,84.84,East,6,16
mens,2019-03-17,0,1.0,0.675782878239,0.302169752278,0.067503231693,0.026167180205,0.009188529455,0.003624738762,1,1,269,Marquette,85.31,West,5,40
mens,2019-03-17,0,1.0,0.691659280622,0.248012979407,0.091251785669,0.026757103838,0.009107614446,0.003496391573,1,1,2084,Buffalo,85.75,West,6,48
mens,2019-03-17,0,1.0,0.634062188188,0.185683460578,0.077439740915,0.02484156625,0.007337181763,0.002184985696,1,1,2747,Wofford,84.38,Midwest,7,88
mens,2019-03-17,0,1.0,0.51907345436,0.070615959665,0.033309798869,0.011776051054,0.003549083821,0.001224305463,1,1,183,Syracuse,83.92,West,8,36
mens,2019-03-17,0,1.0,0.421462918278,0.112425546238,0.042054568763,0.011060571599,0.003142457795,0.001028879489,1,1,57,Florida,83.95,West,10,58
mens,2019-03-17,0,1.0,0.45185528171,0.237039808405,0.038435482019,0.010708663128,0.003598816352,0.001011702676,1,1,2483,Oregon,84.02,South,12,106
mens,2019-03-17,0,1.0,0.325519324183,0.113202458865,0.035386918016,0.010403269401,0.002904716222,0.000821396451,1,1,194,Ohio State,82.59,Midwest,11,82
mens,2019-03-17,0,1.0,0.529083000758,0.062628904999,0.027919100739,0.00822482696,0.002745838598,0.00076690036,1,1,201,Oklahoma,83.01,South,9,102
mens,2019-03-17,0,1.0,0.337016623224,0.07367216474,0.026316877699,0.006459494904,0.002387769351,0.000737470716,1,1,2294,Iowa,82.4,South,10,122
mens,2019-03-17,0,1.0,0.48092654564,0.05819187636,0.025957829526,0.008621829519,0.002150280898,0.000626786759,1,1,239,Baylor,82.71,West,9,38
mens,2019-03-17,0,1.0,0.528158818228,0.051725033179,0.021058154695,0.007720000252,0.001984922997,0.000539300513,1,1,2670,Virginia Commonwealth,82.23,East,8,4
mens,2019-03-17,0,1.0,0.365937811812,0.078843935134,0.027091710834,0.007134798123,0.001819652497,0.000473346036,1,1,2550,Seton Hall,82.18,Midwest,10,90
mens,2019-03-17,0,1.0,0.247693498927,0.078043318675,0.020008297434,0.004605050305,0.001605706554,0.000468091743,1,1,2608,Saint Mary's (CA),83.58,South,11,114
mens,2019-03-17,0,1.0,0.506900963687,0.067882295227,0.022726004017,0.007142763028,0.001803732667,0.000464934064,1,1,328,Utah State,82.28,Midwest,8,68
mens,2019-03-17,0,1.0,0.33610247232,0.06669392841,0.024690542859,0.0039783317,0.001288602133,0.000431856628,1,1,135,Minnesota,81.19,East,10,26
mens,2019-03-17,0,1.0,0.470916999242,0.051734708253,0.021896154132,0.006074711709,0.001762758572,0.000429170476,1,1,145,Mississippi,81.64,South,8,100
mens,2019-03-17,0,1.0,0.493099036313,0.064899034919,0.020946450789,0.006357294688,0.001580707939,0.000401658932,1,1,264,Washington,82.55,Midwest,9,70
mens,2019-03-17,1,0.591690605945,0.23104696949,0.097346314624,0.024181593296,0.004466572317,0.001228437844,0.000354897963,0,1,2057,Belmont,81.06,East,11a,18
mens,2019-03-17,0,1.0,0.324217121761,0.102398755501,0.015778873323,0.004511619764,0.001089491674,0.000308516664,1,1,93,Murray State,81.29,West,12,42
mens,2019-03-17,1,0.520475769979,0.179097386912,0.046678836488,0.01618064813,0.004481491252,0.001019681549,0.000273673922,0,1,9,Arizona State,80.87,West,11a,50
mens,2019-03-17,0,1.0,0.471841181772,0.042811878038,0.014082883618,0.004210458505,0.001029104729,0.00026695969,1,1,2116,Central Florida,81.72,East,9,6
mens,2019-03-17,0,1.0,0.237058720784,0.09465284986,0.019300719832,0.005430682061,0.001174871183,0.000262430979,1,1,166,New Mexico State,80.91,Midwest,12,74
mens,2019-03-17,1,0.408309394055,0.131995259578,0.047803431893,0.012269788105,0.002341680683,0.00054150961,0.000133523801,0,1,218,Temple,79.4,East,11b,19
mens,2019-03-17,0,1.0,0.211083421422,0.082647287148,0.008913205532,0.001865615011,0.000340234011,7.4654829e-05,1,1,261,Vermont,79.29,West,13,46
mens,2019-03-17,1,0.479524230021,0.129243332467,0.026911614183,0.005912538515,0.001065299691,0.000225804856,5.6837302e-05,0,1,2599,St. John's (NY),79.13,West,11b,51
mens,2019-03-17,0,1.0,0.174537452382,0.036713441643,0.005567119016,0.001198487382,0.000214025205,3.9979878e-05,1,1,111,Northeastern,78.58,Midwest,13,78
mens,2019-03-17,0,1.0,0.176902290739,0.037259312052,0.003943879281,0.000992028544,0.000180675422,3.5740325e-05,1,1,2335,Liberty,78.01,East,12,10
mens,2019-03-17,0,1.0,0.232927301915,0.065571093552,0.005690345569,0.000892123033,0.000177023808,2.9790464e-05,1,1,300,UC-Irvine,78.35,South,13,110
mens,2019-03-17,0,1.0,0.127365567535,0.033898324953,0.002686084357,0.000525810682,9.8627247e-05,2.0050401e-05,1,1,139,Saint Louis,77.35,East,13,14
mens,2019-03-17,0,1.0,0.1499391879,0.037908203152,0.005910328252,0.000686748039,0.000106225297,1.804504e-05,1,1,43,Yale,76.89,East,14,22
mens,2019-03-17,0,1.0,0.093750482531,0.026171725512,0.00409110703,0.00053503311,8.6126854e-05,1.684439e-05,1,1,94,Northern Kentucky,77.25,West,14,54
mens,2019-03-17,0,1.0,0.119810050022,0.025467174929,0.003642949988,0.000487762817,9.1040432e-05,1.4437678e-05,1,1,295,Old Dominion,77.07,South,14,118
mens,2019-03-17,0,1.0,0.10182096299,0.020301555229,0.003048908478,0.000442390548,6.0316425e-05,8.74017e-06,1,1,2247,Georgia State,76.13,Midwest,14,86
mens,2019-03-17,0,1.0,0.059394027226,0.012152278865,0.002292548232,0.000303400774,3.9666289e-05,6.390664e-06,1,1,149,Montana,76.19,West,15,62
mens,2019-03-17,0,1.0,0.047765430246,0.008613108911,0.001226909058,0.000122106938,1.8122859e-05,2.300685e-06,1,1,2142,Colgate,74.95,South,15,126
mens,2019-03-17,0,1.0,0.036083410447,0.005589143948,0.000824272466,4.939255e-05,5.514675e-06,6.8886e-07,1,1,71,Bradley,72.91,East,15,30
mens,2019-03-17,0,1.0,0.018642277152,0.003743306692,0.000524247261,4.4525548e-05,4.078641e-06,3.23432e-07,1,1,2241,Gardner-Webb,71.75,South,16,98
mens,2019-03-17,0,1.0,0.030893582259,0.004002163701,0.000462060976,4.1561492e-05,3.416534e-06,3.05307e-07,1,1,2000,Abilene Christian,72.33,Midwest,15,94
mens,2019-03-17,0,1.0,0.0219863857,0.004399126768,0.000394547025,3.4665562e-05,2.566419e-06,2.07295e-07,1,1,314,Iona,71.86,Midwest,16,66
mens,2019-03-17,1,0.675116532201,0.005862296318,0.000737859601,6.0284551e-05,4.709694e-06,4.3916e-07,4.62e-08,0,1,2449,North Dakota State,70.35,East,16b,3
mens,2019-03-17,1,0.452985470289,0.00559039248,0.000677976307,7.722827e-05,6.226635e-06,3.88236e-07,3.0857e-08,0,1,2504,Prairie View,69.57,West,16b,35
mens,2019-03-17,1,0.547014529711,0.006191969228,0.000695404078,7.1688854e-05,5.226866e-06,3.44618e-07,2.8911e-08,0,1,161,Fairleigh Dickinson,70.04,West,16a,34
mens,2019-03-17,1,0.324883467799,0.001937351357,0.000174087207,9.669886e-06,5.17073e-07,2.0409e-08,9.33e-10,0,1,2428,North Carolina Central,65.48,East,16a,2
